z,electricalConductivity,thermalConductivity,specificHeat,electricalType,crustAbundance,oceanAbundance,ionizationEnergies,isotopes,isotopeAbundance,universeAbundance,humanAbundance
78,9400000,71,0.133,Conductor,5e-07,,870;1791,190;192;194;195;196;198,0.00012;0.00782;0.32864;0.33775;0.25211;0.07356,5e-07,
79,41000000,320,0.129,Conductor,3.1e-07,,890.1;1980,197,1,6e-08,1e-05
80,1040000,8.3,0.14,Conductor,6.7e-06,,1007.1;1810;3300,196;198;199;200;201;202;204,0.0015;0.1004;0.1694;0.2314;0.1317;0.2974;0.0682,1e-07,
81,5000000,46,0.129,Conductor,5.3e-05,,589.4;1971;2878,203;205,0.29515;0.70485,5e-08,
82,4800000,35,0.129,Conductor,0.0014,,715.6;1450.5;3081.5;4083;6640,204;206;207;208,0.014;0.241;0.221;0.524,1e-06,0.00017
83,870000,8,0.122,Conductor,2.5e-06,,703;1610;2466;4370;5400;8520,,1,7e-08,
84,,,,Conductor,-3,,812.1,,,,0
85,,2,,Conductor,-1,,920,,,,0
86,,0.00361,,Conductor,-2,,1037,,,,
87,,,,Conductor,-1,,380,,,,0
88,,19,,N/A,-2,,509.3;979,,,,1e-13
89,,12,,N/A,-2,,499;1170;1900;4700,,,,0
90,670000,54,0.113,N/A,0.0006,,587;1110;1930;2780,,,4e-08,0
91,,47,,Conductor,-2,,568,,,,0
92,3600000,27,0.116,N/A,0.00027,,597.6;1420;1900;3145,,,2e-08,1e-07
93,,6,,Conductor,-1,,604.5;1128;1997;3242,,,,0
94,,6,,Conductor,-1,,584.7;1128;2084;3338,,,,0
95,,10,,N/A,-1,,578;1158;2132;3493,,,,0
96,,,,Conductor,-1,,581;1196;2026;3550,,,,0
97,,10,,Conductor,-1,,601;1186;2152;3434,,,,0
98,,,,N/A,-1,,608;1206;2267;3599,,,,0
99,,,,N/A,-1,,619;1216;2334;3734,,,,0
100,,,,N/A,-1,,627;1225;2363;3792,,,,0
101,,,,N/A,-1,,635;1235;2470;3840,,,,0
102,,,,N/A,-1,,642;1254;2643;3956,,,,0
103,,,,N/A,-1,,470;1428;2228;4910,,,,0
104,,,,N/A,-1,,580;1390;2300;3080,,,,0
105,,,,N/A,-1,,665;1547;2378;3299;4305,,,,0
106,,,,N/A,-1,,757;1733;2484;3416;4562;5716,,,,0
107,,,,N/A,-1,,740;1690;2570;3600;4730;5990;7230,,,,0
108,,,,N/A,-1,,730;1760;2830;3640;4940;6180;7540;8860,,,,0
109,,,,N/A,-1,,800;1820;2900;3900;4900,,,,0
110,,,,N/A,-1,,960;1890;3030;4000;5100,,,,0
111,,,,N/A,-1,,1020;2070;3080;4100;5300,,,,0
112,,,,N/A,-1,,1155;2170;3160;4200;5500,,,,0
113,,,,N/A,-1,,707.2;2309;3020;4382;5638,,,,0
114,,,,N/A,-1,,832.2;1600;3370;4400;5850,,,,0
115,,,,N/A,-1,,538.3;1760;2650;4680;5720,,,,0
116,,,,N/A,-1,,663.9;1330;2850;3810;6080,,,,0
117,,,,N/A,-1,,736.9;1435.4;2161.9;4012.9;5076.4,,,,0
118,,,,N/A,-1,,860.1;1560,,,,0
